Term,Parent
5公平,MF_Fairness
5正當,MF_Fairness
5合理,MF_Fairness
CCTVB,MF_Fairness
o厄人,MF_Fairness
win win,MF_Fairness
win-win ,MF_Fairness
一報還一報,MF_Fairness
人人平等,MF_Fairness
人多蝦人少,MF_Fairness
不一樣,MF_Fairness
不受法律管制,MF_Fairness
互惠互利,MF_Fairness
仇富,MF_Fairness
公道咩,MF_Fairness
冇公道,MF_Fairness
未審先判,MF_Fairness
正當防衛,MF_Fairness
正義已死,MF_Fairness
犯法無成本,MF_Fairness
各打50大板,MF_Fairness
各打五十大板,MF_Fairness
合理防衛,MF_Fairness
好fair,MF_Fairness
好吾fair,MF_Fairness
好唔fair,MF_Fairness
吾公平,MF_Fairness
吾正當,MF_Fairness
吾合理,MF_Fairness
吾成正比,MF_Fairness
吾對等,MF_Fairness
兩邊都5o岩,MF_Fairness
兩邊都5岩,MF_Fairness
兩邊都5啱,MF_Fairness
兩邊都有錯,MF_Fairness
兩邊都吾o岩,MF_Fairness
兩邊都吾岩,MF_Fairness
兩邊都吾啱,MF_Fairness
兩邊都唔o岩,MF_Fairness
兩邊都唔岩,MF_Fairness
兩邊都唔啱,MF_Fairness
兩邊都錯5o西,MF_Fairness
兩邊都錯5哂,MF_Fairness
兩邊都錯吾o西,MF_Fairness
兩邊都錯吾哂,MF_Fairness
兩邊都錯唔o西,MF_Fairness
兩邊都錯唔哂,MF_Fairness
官媒,MF_Fairness
"所有黃絲女性都係""天使""，藍絲女性就純潔如聖母",MF_Fairness
知法犯法,MF_Fairness
保障其他人既權利,MF_Fairness
徇私,MF_Fairness
既定立場,MF_Fairness
毒果,MF_Fairness
紅色法官,MF_Fairness
紅官,MF_Fairness
唔成正比,MF_Fairness
套用不同標準,MF_Fairness
差別待遇,MF_Fairness
消滅所有不同自己理念gei聲音,MF_Fairness
消滅所有不同自己理念既聲音,MF_Fairness
消滅所有不同自己理念嘅聲音,MF_Fairness
消滅所有吾同gei聲音,MF_Fairness
消滅所有吾同嘅聲音,MF_Fairness
消滅所有唔同gei聲音,MF_Fairness
消滅所有唔同嘅聲音,MF_Fairness
偏私,MF_Fairness
偏幫,MF_Fairness
掩著良心,MF_Fairness
球證旁證足總全部都佢gei人,MF_Fairness
球證旁證足總全部都佢既人,MF_Fairness
球證旁證足總全部都佢嘅人,MF_Fairness
善惡不分,MF_Fairness
無問責,MF_Fairness
無線新聞永遠都吾報導黃絲被私了,MF_Fairness
無線新聞永遠都唔報導被黃絲私了,MF_Fairness
等天收,MF_Fairness
視而不見,MF_Fairness
黃官,MF_Fairness
黑警/藍絲就要屌，手足私了就完全無問題,MF_Fairness
嗰班死曱甴好快有報應,MF_Fairness
搬龍門,MF_Fairness
滅聲,MF_Fairness
預左要還,MF_Fairness
維護公義,MF_Fairness
語言偽術,MF_Fairness
語言藝術,MF_Fairness
說話偽術,MF_Fairness
說話藝術,MF_Fairness
選擇性,MF_Fairness
龍門任搬,MF_Fairness
幫住o西,MF_Fairness
幫住哂,MF_Fairness
還以顏色,MF_Fairness
還眼,MF_Fairness
藍色法官,MF_Fairness
藍官,MF_Fairness
雙重標準,MF_Fairness
黨媒,MF_Fairness
鶳鳥,MF_Fairness
聽而不聞,MF_Fairness
