Term,Parent
prejudice,loyalty_viceP3
偏見,loyalty_viceP3
先入為主,loyalty_viceP3
有成見,loyalty_viceP3
fear,loyalty_viceP3
害怕,loyalty_viceP3
恐懼,loyalty_viceP3
驚恐,loyalty_viceP3
懼怕,loyalty_viceP3
畏懼,loyalty_viceP3
驚,loyalty_viceP3
abandoned,loyalty_viceP3
遺棄,loyalty_viceP3
捨棄,loyalty_viceP3
拋棄,loyalty_viceP3
棄置,loyalty_viceP3
抌低,loyalty_viceP3
捨低,loyalty_viceP3
uncertainty,loyalty_viceP3
不確定性,loyalty_viceP3
唔確定,loyalty_viceP3
不明確,loyalty_viceP3
冇把握,loyalty_viceP3
唔肯定,loyalty_viceP3
唔肯定嘅,loyalty_viceP3
bitter,loyalty_viceP3
苦,loyalty_viceP3
苦澀,loyalty_viceP3
苦味,loyalty_viceP3
愩怒,loyalty_viceP3
怨恨的,loyalty_viceP3
無法釋懷的,loyalty_viceP3
injury,loyalty_viceP3
受傷,loyalty_viceP3
損傷,loyalty_viceP3
整親,loyalty_viceP3
failure,loyalty_viceP3
失敗,loyalty_viceP3
失利,loyalty_viceP3
挫折,loyalty_viceP3
挫敗,loyalty_viceP3
unfortunately,loyalty_viceP3
不幸地,loyalty_viceP3
遺憾地,loyalty_viceP3
可惜,loyalty_viceP3
黑仔,loyalty_viceP3
forget,loyalty_viceP3
忘記,loyalty_viceP3
唔記得,loyalty_viceP3
失憶,loyalty_viceP3
忘卻,loyalty_viceP3
遺忘,loyalty_viceP3
忘掉,loyalty_viceP3
唔想再諗,loyalty_viceP3
struggle,loyalty_viceP3
努力,loyalty_viceP3
拚搏,loyalty_viceP3
奮力,loyalty_viceP3
鬥爭,loyalty_viceP3
questioned,loyalty_viceP3
質疑,loyalty_viceP3
疑問,loyalty_viceP3
納疑,loyalty_viceP3
挑戰,loyalty_viceP3
疑惑,loyalty_viceP3
warning,loyalty_viceP3
警示,loyalty_viceP3
注意,loyalty_viceP3
告示,loyalty_viceP3
killer,loyalty_viceP3
殺手,loyalty_viceP3
兇手,loyalty_viceP3
殺人犯,loyalty_viceP3
殺人兇手,loyalty_viceP3
殺人者,loyalty_viceP3
嗜殺成性的人,loyalty_viceP3
fearful,loyalty_viceP3
恐懼 ,loyalty_viceP3
懼畏,loyalty_viceP3
膽怯 ,loyalty_viceP3
可怕的,loyalty_viceP3
stealing,loyalty_viceP3
偷盜,loyalty_viceP3
盜取 ,loyalty_viceP3
偷走,loyalty_viceP3
行竊的,loyalty_viceP3
critical,loyalty_viceP3
